gene,log2FC,pVal,adj.p,-Log10(adj.P),expression
FUT7,2.53997493391586,1.54604343557449e-10,9.70339573678881e-10,9.01307625628299,Up-regulated
FHIT,2.22376703449888,1.66726381445665e-38,2.87981931587967e-37,36.5406347596637,Up-regulated
NT5E,2.01196007935255,2.55741320366271e-21,2.84308169981652e-20,19.5462106600881,Up-regulated
TNFAIP8L2,1.98599070667154,8.75905014142458e-30,1.25386402709434e-28,27.901749557193,Up-regulated
SLC35D2,1.79208717691585,1.77179454021442e-17,1.6832048132037e-16,15.773863035639,Up-regulated
FBP1,1.74508113453892,4.40695519386942e-09,2.43664982941457e-08,7.61320687872662,Up-regulated
RPL36A,1.68263772123872,6.25889184636271e-230,6.54054197944904e-227,226.184386262542,Up-regulated
RRP36,1.63637926866093,1.53854835556682e-17,1.47503030419021e-16,15.8311990571045,Up-regulated
MRM1,1.60221841473372,4.26828368580137e-05,0.000152751933276111,3.81601328448421,Up-regulated
PSPH,1.58976499206867,2.58286075381242e-08,1.34954474386699e-07,6.86981271192822,Up-regulated
B4GAT1,1.53439582206588,4.54959325315828e-05,0.000162263650155304,3.78977875870159,Up-regulated
PNPLA7,1.53439581815452,7.86463975886158e-05,0.000269561656409045,3.5693418836288,Up-regulated
ARV1,1.53439581814817,1.22374875668635e-11,8.72912935656817e-11,10.0590290706695,Up-regulated
AMN,1.51813529727797,9.09856233831911e-05,0.000308200896062998,3.51116610294839,Up-regulated
PHGDH,1.49896538116802,2.28763334716725e-05,8.52255560709367e-05,4.06943015644989,Up-regulated
ACBD4,1.49781529481597,4.11794916517653e-06,1.6809597178162e-05,4.77444269378228,Up-regulated
VKORC1,1.48638659911668,1.84844915925228e-07,8.90151784063885e-07,6.05053593339892,Up-regulated
GGPS1,1.48638659896108,0.000220404914682211,0.000701135877756197,3.15419780907856,Up-regulated
RPL41,1.44929781732547,3.87204905536498e-241,8.09258252571281e-238,237.091912863099,Up-regulated
ATP5PO,1.4461757537421,4.30649472705878e-47,8.25740732069068e-46,45.0831562920342,Up-regulated
CYP2U1,1.41406593738157,3.17734513812676e-05,0.000116298622393782,3.93442542964234,Up-regulated
RPS10,1.40902225816053,1.92436980400026e-187,8.04386578072109e-185,184.094535184617,Up-regulated
CAD,1.39937522197165,2.36182268370498e-05,8.76768989155134e-05,4.05711481934896,Up-regulated
GCSH,1.38352889170428,6.26754083869811e-07,2.83531609369676e-06,5.54739851698419,Up-regulated
GALE,1.37977686390294,4.66172361465283e-05,0.000165415999229617,3.78142248727985,Up-regulated
GGCT,1.37718730751095,7.89677502386676e-18,7.71227093452408e-17,16.1128177219343,Up-regulated
GSTM2,1.37208182772074,1.3258980733588e-11,9.39365075701655e-11,10.0271655903227,Up-regulated
NDUFA11,1.36643788839932,4.94217699438588e-60,1.0988457359858e-58,57.9590632727381,Up-regulated
MTHFD2L,1.36398481370219,1.09498329666075e-09,6.33937698066752e-09,8.19795342148001,Up-regulated
PNPO,1.33875132184311,4.63598512925729e-05,0.000165063184329604,3.78234978091917,Up-regulated
APOM,1.33223596571468,0.00842441094424351,0.0200079759925783,1.69879684238396,Up-regulated
CSTF3,1.33223591913861,3.33944134216809e-09,1.86118197470168e-08,7.73021116220233,Up-regulated
DUS2,1.32208354767031,0.00123022750139428,0.00345124225223361,2.46202455530841,Up-regulated
GLRX,1.31794996193939,3.80279176700911e-32,5.8013392649993e-31,30.2364717360479,Up-regulated
BPNT1,1.31763711971279,3.06673693946977e-07,1.4468352603819e-06,5.83958091572277,Up-regulated
U2AF1L4,1.30550313605527,1.16350576789727e-29,1.6542360917723e-28,27.7814025080623,Up-regulated
GEMIN7,1.30146486340989,7.72554758758417e-12,5.62592141395502e-11,10.2498063385988,Up-regulated
MARS2,1.29714454609791,2.11637782633756e-05,7.89862438758125e-05,4.1024485381909,Up-regulated
ACAT1,1.28468337890504,1.57114359249104e-11,1.10190943231754e-10,9.95785409936909,Up-regulated
COQ3,1.28005011880733,0.00283020375732329,0.00749699094145205,2.12511301390776,Up-regulated
AAAS,1.27666605923951,3.03772811861774e-11,2.0815907435774e-10,9.68160465199992,Up-regulated
NOSIP,1.27512199343559,3.84499892160865e-84,9.68198523633986e-83,82.0140355839324,Up-regulated
THOC6,1.25439343237014,1.31742447483527e-15,1.14249674373681e-14,13.9421450290517,Up-regulated
DCK,1.24072618840347,2.50998571639393e-27,3.36273727388674e-26,25.4733070622002,Up-regulated
RPP40,1.23855043505669,0.000833691408154353,0.00238686992197616,2.62217124823551,Up-regulated
RPS29,1.23465173660582,3.94099460648982e-197,2.74555957585457e-194,193.561369128103,Up-regulated
CPT2,1.23045490600445,5.51621187699026e-06,2.22136470576294e-05,4.65338013271791,Up-regulated
NDUFA7,1.22876073905711,2.75962672058693e-18,2.74648564096509e-17,16.5612226671928,Up-regulated
CAT,1.22299264674155,2.01980173533625e-16,1.85148492405823e-15,14.7324798198959,Up-regulated
HSD17B8,1.21947801969198,1.25315563164759e-12,9.52398280052165e-12,11.0211813975642,Up-regulated
NIT2,1.21895536745314,4.42441725123898e-17,4.1281393103078e-16,15.3842456552091,Up-regulated
NUP43,1.2181226124019,3.80440285497743e-05,0.000137564047870291,3.86149505339476,Up-regulated
FXN,1.21445572382284,0.00103894900540121,0.00294228105865654,2.53131584405121,Up-regulated
SRD5A3,1.21445288351909,0.00126765918365927,0.00354673051385258,2.4501718086504,Up-regulated
NDUFC2,1.20777330164548,1.93027589244262e-34,3.05627016303415e-33,32.5148082583657,Up-regulated
PNPLA4,1.20497413962902,1.37235972138913e-05,5.22446597031562e-05,4.28195809526439,Up-regulated
METTL1,1.20093916498366,5.31324598708644e-05,0.000186633346437154,3.72901075673218,Up-regulated
ACYP1,1.19745530742206,8.61175573400137e-08,4.32657920289973e-07,6.3638553416271,Up-regulated
HPGD,1.19503480641834,0.000394228541279166,0.00119156907018379,2.92388077838653,Up-regulated
IDUA,1.19304628806026,0.000168389707135396,0.000548184560612114,3.26107320034593,Up-regulated
SLC27A5,1.18628200673848,8.1930951017777e-07,3.66671707981058e-06,5.43572259847061,Up-regulated
VAMP2,1.18596550074845,5.15170381642242e-29,7.22621542035091e-28,27.1410890958437,Up-regulated
UROD,1.18250128370994,9.31644066389319e-14,7.51789999518794e-13,12.1239034556676,Up-regulated
MTFMT,1.17706535140607,4.94501819102072e-07,2.28147638393671e-06,5.64178402234565,Up-regulated
TRIB3,1.16794226126374,0.0031103194150845,0.0081871128180436,2.08686922501093,Up-regulated
ALDH5A1,1.16793286784272,0.000411173755093558,0.00123826102038262,2.90718779815668,Up-regulated
CHKB,1.16259952205722,6.16721430243867e-06,2.44582123189693e-05,4.61157528926129,Up-regulated
ACY1,1.15970236892851,0.000532299730885543,0.00157578815517108,2.80250216833394,Up-regulated
ATP5ME,1.15846847768039,1.90249998149201e-118,8.64396730721368e-117,116.063286884353,Up-regulated
SLC35B2,1.15440011441151,8.69686303018294e-07,3.85911756541027e-06,5.41351199073899,Up-regulated
SNRPA,1.1488986182291,8.08749964805703e-29,1.1193956466516e-27,26.9510163864045,Up-regulated
PIGF,1.1462265894956,5.12814096850122e-09,2.82791942590173e-08,7.54853296877357,Up-regulated
PIGC,1.1413020021197,7.05068165742009e-18,6.91827449014459e-17,16.1600022108689,Up-regulated
WDR4,1.14102541492277,0.000550024724618946,0.00162137048583018,2.79011773680644,Up-regulated
KHK,1.13807991592923,0.00922279748913,0.0215129986074572,1.66729905089063,Up-regulated
ATP5MC1,1.13631675426808,2.17064112898785e-39,3.81230248704588e-38,37.4188126475817,Up-regulated
ALG14,1.13540967634762,0.00032410435033271,0.00099322300908411,3.00295322810004,Up-regulated
GALK1,1.13498871436288,5.11954307574914e-06,2.0656071483235e-05,4.68495227213804,Up-regulated
SRSF1,1.1338870285956,1.63638114595102e-21,1.82889657488643e-20,19.7378108534225,Up-regulated
MINPP1,1.12683123112543,0.000121653541444595,0.000401034545140699,3.39681821561474,Up-regulated
MORC2,1.123481136763,0.00266224389675105,0.00708801241300599,2.14947553055452,Up-regulated
NUDT2,1.12251538830427,1.01937908258683e-11,7.34655959519474e-11,10.1339159940619,Up-regulated
RPS21,1.1186993100722,5.83127892742031e-191,3.04684323957711e-188,187.516149889702,Up-regulated
SMARCD3,1.11267018921374,6.22205503805578e-05,0.000216374293336715,3.66479433748959,Up-regulated
NDUFB1,1.11233768708653,7.91904448030089e-53,1.65508029638289e-51,50.7811809315378,Up-regulated
NME2,1.10796775581456,1.6966482956145e-66,3.93999437537144e-65,64.404504398161,Up-regulated
GEMIN6,1.10501907346875,2.9330421650027e-08,1.52489008080986e-07,6.81676146059144,Up-regulated
SNRNP48,1.10197490006031,2.06486099634472e-07,9.89807220724879e-07,6.00444938229943,Up-regulated
LTA4H,1.10150219872169,2.97546187141376e-21,3.29032556151045e-20,19.4827611286238,Up-regulated
SETMAR,1.09961365300359,0.00170707893294141,0.00467600913479363,2.33012464909561,Up-regulated
WDR46,1.09700763092271,2.83589483218958e-12,2.11679292831294e-11,10.6743216240257,Up-regulated
NHP2,1.09476256942379,3.7300988077424e-36,6.2367252065453e-35,34.2050433907749,Up-regulated
ADH5,1.09300623010923,5.56969300025847e-25,6.88796353286403e-24,23.1619091608456,Up-regulated
LAMTOR4,1.09019154564954,2.22587489828087e-52,4.60601835386834e-51,50.3366743358099,Up-regulated
ATP5F1A,1.0897946647498,2.18731932499708e-47,4.23286795300361e-46,45.3733652794061,Up-regulated
SUCLA2,1.08819425066718,1.14510509707767e-11,8.19612894826139e-11,10.0863912175381,Up-regulated
ATIC,1.08480499147547,2.39409837959827e-20,2.56598236582583e-19,18.5907463325483,Up-regulated
SNUPN,1.08344993723749,1.95171278907528e-08,1.0248944043134e-07,6.98932087800959,Up-regulated
NOL6,1.08092153909488,0.00602813367750483,0.0147873232229872,1.83011043416385,Up-regulated
NMNAT1,1.08092149212076,0.0243195508511767,0.0512894664772546,1.28997181852421,NS.
ACADVL,1.0809214908651,4.11629986199679e-15,3.48302296015113e-14,13.4580436626552,Up-regulated
LIPT2,1.08092149086496,0.0298892651290425,0.0616060790135097,1.21037643147579,NS.
SRSF5,1.07930470131976,1.45664036319721e-54,3.10650852967568e-53,52.507727449588,Up-regulated
FBL,1.069738582797,1.90655779253547e-48,3.75915640226333e-47,46.4249096047925,Up-regulated
PDE6B,1.06908703323014,0.000292967119793491,0.000905904423490173,3.04291761969668,Up-regulated
AHCY,1.06479210898936,5.17006720687051e-10,3.10501162711476e-09,8.5079367692129,Up-regulated
GAMT,1.06352977678207,3.35639941378479e-10,2.04515299557149e-09,8.68927419736468,Up-regulated
PGS1,1.06296771524696,1.00512470651638e-06,4.43187898020936e-06,5.35341210724733,Up-regulated
EXOSC5,1.06275419130594,1.42598329876984e-12,1.07982068638731e-11,10.9666483569001,Up-regulated
WDR12,1.062572356711,2.03100422946516e-05,7.59355785256206e-05,4.11955469397299,Up-regulated
ECI2,1.06068734070009,3.87102486249894e-13,3.01882162784432e-12,11.5201625472391,Up-regulated
COX18,1.06030221038489,0.00438915374930974,0.0111326836602638,1.95340013141065,Up-regulated
NDUFB3,1.05815745014185,1.35716583061329e-30,1.99751872252238e-29,28.6995091414007,Up-regulated
PCBD2,1.0556036902384,0.000293010234583424,0.000905904423490173,3.04291761969668,Up-regulated
RPL37A,1.04992780586412,2.14882124044032e-143,2.49502021806681e-141,140.602925930778,Up-regulated
RENBP,1.04583017962917,0.000185120892580434,0.00059799484620264,3.22330255894704,Up-regulated
RIDA,1.04511203846775,0.000101931600780046,0.000344163240113566,3.46323551828617,Up-regulated
POLD1,1.0445538473505,0.00335437083956536,0.0087632938183645,2.05733262690599,Up-regulated
